Running in Release Mode
PAARD will be skipped as n_ranks != 6
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Ring,384,1536,1163.370,41.573,1131.000,1649.000,1.320
Pipelined Ring,768,3072,1125.175,16.687,1111.000,1275.000,2.730
Pipelined Ring,1536,6144,1113.360,6.694,1098.000,1154.000,5.518
Pipelined Ring,3072,12288,1180.750,46.606,1129.000,1608.000,10.407
Pipelined Ring,6144,24576,1274.050,9.469,1257.000,1325.000,19.290
Pipelined Ring,12288,49152,1279.200,33.534,1260.000,1719.000,38.424
Pipelined Ring,24576,98304,1283.140,14.716,1264.000,1426.000,76.612
Pipelined Ring,49152,196608,1308.465,23.711,1289.000,1540.000,150.259
Pipelined Ring,98304,393216,1357.835,18.088,1338.000,1560.000,289.590
Pipelined Ring,196608,786432,1426.725,11.537,1407.000,1506.000,551.215
Pipelined Ring,393216,1572864,1534.870,24.744,1514.000,1746.000,1024.754
Pipelined Ring,786432,3145728,2949.610,1342.911,2387.000,10848.000,1066.489
Pipelined Ring,1572864,6291456,3496.635,1510.203,2798.000,12304.000,1799.289
Pipelined Ring,3145728,12582912,3807.335,1725.253,3048.000,16434.000,3304.913
Pipelined Ring,6291456,25165824,4715.415,1837.108,4017.000,17993.000,5336.927
Pipelined Ring,12582912,50331648,7036.795,2242.330,5844.000,24256.000,7152.638
Pipelined Ring,25165824,100663296,11620.260,3814.870,9905.000,34537.000,8662.740
Pipelined Ring,50331648,201326592,20325.660,4721.727,17587.000,45953.000,9905.046
Pipelined Ring,100663296,402653184,35424.665,4491.484,32981.000,61040.000,11366.464
Pipelined Ring,201326592,805306368,67801.455,4970.284,64275.000,92631.000,11877.420
Pipelined Ring,402653184,1610612736,131491.155,5044.913,127580.000,153873.000,12248.829
Pipelined Ring,805306368,3221225472,260268.640,6136.131,253759.000,283833.000,12376.541
Pipelined Ring,1610612736,6442450944,515457.760,8714.544,507605.000,551740.000,12498.504
Classic Ring,384,1536,334.465,12.166,320.000,417.000,4.592
Classic Ring,768,3072,335.490,4.925,327.000,353.000,9.157
Classic Ring,1536,6144,331.225,4.285,325.000,344.000,18.549
Classic Ring,3072,12288,336.255,4.317,329.000,349.000,36.544
Classic Ring,6144,24576,338.025,4.386,332.000,363.000,72.705
Classic Ring,12288,49152,346.540,7.331,336.000,398.000,141.836
Classic Ring,24576,98304,365.680,10.127,357.000,489.000,268.825
Classic Ring,49152,196608,390.095,8.448,379.000,429.000,504.000
Classic Ring,98304,393216,466.630,6.636,456.000,488.000,842.672
Classic Ring,196608,786432,522.860,6.374,513.000,543.000,1504.097
Classic Ring,393216,1572864,547.820,20.029,532.000,787.000,2871.133
Classic Ring,786432,3145728,1767.585,1516.406,1152.000,10154.000,1779.676
Classic Ring,1572864,6291456,1969.925,1856.405,1356.000,15586.000,3193.754
Classic Ring,3145728,12582912,2322.230,1433.055,1806.000,12767.000,5418.461
Classic Ring,6291456,25165824,3741.100,2630.206,2750.000,26853.000,6726.851
Classic Ring,12582912,50331648,5629.150,2131.162,4798.000,20200.000,8941.252
Classic Ring,25165824,100663296,9958.610,2228.145,8908.000,25686.000,10108.167
Classic Ring,50331648,201326592,18920.790,2066.653,17379.000,28501.000,10640.496
Classic Ring,100663296,402653184,36467.395,2858.325,34671.000,53030.000,11041.457
Classic Ring,201326592,805306368,71589.505,3427.645,69579.000,92399.000,11248.944
Classic Ring,402653184,1610612736,143059.295,3768.370,139835.000,158916.000,11258.358
Classic Ring,805306368,3221225472,284077.115,3887.967,280259.000,304194.000,11339.264
Classic Ring,1610612736,6442450944,567105.000,5888.951,561927.000,597235.000,11360.244
Pipelined HD,384,1536,918.785,14.724,896.000,980.000,1.672
Pipelined HD,768,3072,1026.905,32.975,966.000,1215.000,2.992
Pipelined HD,1536,6144,991.450,8.748,976.000,1021.000,6.197
Pipelined HD,3072,12288,988.990,8.197,974.000,1014.000,12.425
Pipelined HD,6144,24576,989.420,9.152,972.000,1016.000,24.839
Pipelined HD,12288,49152,998.135,8.832,980.000,1039.000,49.244
Pipelined HD,24576,98304,1020.800,10.946,1004.000,1085.000,96.301
Pipelined HD,49152,196608,1056.460,11.549,1035.000,1128.000,186.101
Pipelined HD,98304,393216,1123.430,16.979,1102.000,1224.000,350.014
Pipelined HD,196608,786432,1292.185,11.836,1270.000,1361.000,608.606
Pipelined HD,393216,1572864,1520.680,25.387,1493.000,1716.000,1034.316
Pipelined HD,786432,3145728,2574.615,945.131,2102.000,10732.000,1221.825
Pipelined HD,1572864,6291456,3047.190,1449.197,2454.000,12381.000,2064.675
Pipelined HD,3145728,12582912,3840.410,1483.302,2899.000,13900.000,3276.450
Pipelined HD,6291456,25165824,6126.505,3489.047,4258.000,23680.000,4107.697
Pipelined HD,12582912,50331648,8895.975,4282.677,6363.000,30410.000,5657.800
Pipelined HD,25165824,100663296,13357.645,4123.928,10612.000,35150.000,7536.006
Pipelined HD,50331648,201326592,22827.850,5093.160,19468.000,42295.000,8819.341
Pipelined HD,100663296,402653184,40585.855,5580.449,37043.000,65692.000,9921.023
Pipelined HD,201326592,805306368,77187.940,5633.771,72870.000,105449.000,10433.059
Pipelined HD,402653184,1610612736,149746.220,6454.550,143789.000,178849.000,10755.615
Pipelined HD,805306368,3221225472,294952.890,6493.843,288660.000,323443.000,10921.152
Pipelined HD,1610612736,6442450944,584407.700,6441.839,576602.000,618800.000,11023.898
Classic HD,384,1536,160.775,4.370,154.000,174.000,9.554
Classic HD,768,3072,161.490,4.176,154.000,173.000,19.023
Classic HD,1536,6144,162.545,3.867,154.000,175.000,37.799
Classic HD,3072,12288,165.750,4.109,159.000,180.000,74.136
Classic HD,6144,24576,170.430,4.655,164.000,183.000,144.200
Classic HD,12288,49152,179.170,6.803,170.000,224.000,274.332
Classic HD,24576,98304,199.075,4.192,193.000,218.000,493.804
Classic HD,49152,196608,226.975,6.385,218.000,270.000,866.210
Classic HD,98304,393216,250.315,8.040,238.000,277.000,1570.885
Classic HD,196608,786432,288.875,16.539,271.000,396.000,2722.395
Classic HD,393216,1572864,1465.935,1465.100,815.000,12315.000,1072.943
Classic HD,786432,3145728,1591.020,1182.730,979.000,9060.000,1977.177
Classic HD,1572864,6291456,1851.685,1777.610,1200.000,20951.000,3397.692
Classic HD,3145728,12582912,2675.245,1976.091,1744.000,17859.000,4703.462
Classic HD,6291456,25165824,4176.445,2331.932,2779.000,20906.000,6025.657
Classic HD,12582912,50331648,6643.140,2345.124,5146.000,23434.000,7576.485
Classic HD,25165824,100663296,11488.095,2461.275,9770.000,23520.000,8762.401
Classic HD,50331648,201326592,21026.540,2839.627,19272.000,39399.000,9574.880
Classic HD,100663296,402653184,41026.775,3744.399,38240.000,60386.000,9814.400
Classic HD,201326592,805306368,79938.780,3690.345,76770.000,102222.000,10074.039
Classic HD,402653184,1610612736,158576.750,4888.557,153859.000,177510.000,10156.676
Classic HD,805306368,3221225472,314441.350,5580.698,308834.000,343253.000,10244.281
