Running in Release Mode
HD will be skipped as n_ranks is not a power of 2
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,stack_comm_us,stack_compute_us,throughput
Classic Ring,49152,196608,575.910,6.473,565.000,605.000,381.601,54.642,341.387
Classic Ring,98304,393216,606.255,13.620,587.000,652.000,425.701,45.252,648.598
Classic Ring,196608,786432,663.450,9.117,647.000,696.000,478.388,56.225,1185.367
Classic Ring,393216,1572864,721.105,17.161,686.000,786.000,526.257,53.622,2181.186
Classic Ring,786432,3145728,2102.255,2629.401,1100.000,18789.000,1375.217,53.067,1496.359
Classic Ring,1572864,6291456,2223.140,1932.287,1328.000,15114.000,1401.065,91.484,2829.986
Classic Ring,3145728,12582912,2735.845,1838.604,1834.000,14791.000,1883.637,132.706,4599.278
Classic Ring,6291456,25165824,4231.035,2536.879,2790.000,18902.000,3131.285,209.967,5947.912
Classic Ring,12582912,50331648,6535.295,2555.679,4863.000,18975.000,5099.488,413.521,7701.511
Classic Ring,25165824,100663296,10932.435,2943.665,8933.000,26988.000,9067.875,788.751,9207.765
Classic Ring,50331648,201326592,20045.550,4106.270,17100.000,45192.000,17157.306,1565.025,10043.456
Classic Ring,100663296,402653184,37371.515,4433.241,34061.000,61864.000,32403.424,3120.578,10774.334
Classic Ring,201326592,805306368,71318.260,5002.807,67611.000,90752.000,62706.962,6231.516,11291.728
Classic Ring,402653184,1610612736,140146.575,6941.643,134932.000,172238.000,123742.396,12455.127,11492.345
Classic Ring,805306368,3221225472,274451.410,5265.329,269042.000,304390.000,242940.595,24870.836,11736.961
