Running in Release Mode
HD will be skipped as n_ranks is not a power of 2
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Paard,384,1536,277.185,27.339,261.000,329.000,5.541
Pipelined Paard,768,3072,271.590,25.426,259.000,458.000,11.311
Pipelined Paard,1536,6144,274.930,28.216,260.000,459.000,22.348
Pipelined Paard,3072,12288,284.965,38.094,261.000,590.000,43.121
Pipelined Paard,6144,24576,290.535,31.847,261.000,350.000,84.589
Pipelined Paard,12288,49152,299.415,38.101,262.000,513.000,164.160
Pipelined Paard,24576,98304,327.990,7.546,325.000,395.000,299.716
Pipelined Paard,49152,196608,332.285,16.691,326.000,399.000,591.685
Pipelined Paard,98304,393216,392.855,33.124,354.000,490.000,1000.919
Pipelined Paard,196608,786432,426.955,33.288,392.000,472.000,1841.955
Pipelined Paard,393216,1572864,462.565,26.129,430.000,591.000,3400.309
Pipelined Paard,786432,3145728,1568.230,1970.817,833.000,14289.000,2005.910
Pipelined Paard,1572864,6291456,1525.645,1833.920,1044.000,19540.000,4123.801
Pipelined Paard,3145728,12582912,2566.710,2861.266,1794.000,29177.000,4902.350
Pipelined Paard,6291456,25165824,4253.515,3651.442,2821.000,23201.000,5916.477
Pipelined Paard,12582912,50331648,6699.845,4194.156,4853.000,31415.000,7512.360
Pipelined Paard,25165824,100663296,11037.210,4150.405,8924.000,31269.000,9120.357
Pipelined Paard,50331648,201326592,20969.890,5000.545,17162.000,48842.000,9600.746
Pipelined Paard,100663296,402653184,39833.275,6579.942,34088.000,74616.000,10108.463
Pipelined Paard,201326592,805306368,73836.215,6888.520,67847.000,106104.000,10906.658
Pipelined Paard,402653184,1610612736,140117.330,3977.051,135340.000,161389.000,11494.743
Pipelined Paard,805306368,3221225472,279636.165,6067.150,272134.000,314829.000,11519.345
Pipelined Paard,1610612736,6442450944,555158.765,6136.857,542958.000,579957.000,11604.700
Classic Paard,384,1536,262.125,4.524,261.000,306.000,5.860
Classic Paard,768,3072,262.670,6.504,258.000,324.000,11.695
Classic Paard,1536,6144,262.125,1.197,261.000,269.000,23.439
Classic Paard,3072,12288,262.135,1.107,260.000,269.000,46.877
Classic Paard,6144,24576,262.125,7.008,257.000,289.000,93.757
Classic Paard,12288,49152,262.120,5.754,257.000,293.000,187.517
Classic Paard,24576,98304,262.125,1.094,260.000,267.000,375.027
Classic Paard,49152,196608,306.690,30.658,262.000,394.000,641.064
Classic Paard,98304,393216,327.665,5.095,323.000,378.000,1200.055
Classic Paard,196608,786432,346.650,29.386,325.000,443.000,2268.663
Classic Paard,393216,1572864,404.300,25.979,383.000,551.000,3890.339
Classic Paard,786432,3145728,1640.385,1835.352,777.000,14727.000,1917.677
Classic Paard,1572864,6291456,1750.265,1584.148,1019.000,12185.000,3594.573
Classic Paard,3145728,12582912,2950.795,2179.995,1505.000,13453.000,4264.245
Classic Paard,6291456,25165824,4629.935,2391.490,2522.000,16610.000,5435.459
Classic Paard,12582912,50331648,7131.675,3327.230,4588.000,27629.000,7057.479
Classic Paard,25165824,100663296,11606.605,2421.082,8738.000,21230.000,8672.932
Classic Paard,50331648,201326592,20271.075,3129.216,17131.000,37141.000,9931.718
Classic Paard,100663296,402653184,37547.860,3060.280,34208.000,56705.000,10723.732
Classic Paard,201326592,805306368,70220.785,2683.995,67694.000,82095.000,11468.205
Classic Paard,402653184,1610612736,139656.045,4115.193,135099.000,169580.000,11532.710
Classic Paard,805306368,3221225472,277090.635,3626.198,271665.000,293588.000,11625.169
Classic Paard,1610612736,6442450944,549170.940,4208.967,542308.000,572428.000,11731.231
Pipelined Ring,384,1536,799.840,28.559,785.000,854.000,1.920
Pipelined Ring,768,3072,786.405,0.933,785.000,792.000,3.906
Pipelined Ring,1536,6144,786.415,1.016,785.000,795.000,7.813
Pipelined Ring,3072,12288,786.415,1.087,785.000,793.000,15.625
Pipelined Ring,6144,24576,786.415,1.207,784.000,797.000,31.251
Pipelined Ring,12288,49152,786.410,1.072,785.000,793.000,62.502
Pipelined Ring,24576,98304,786.405,1.068,785.000,793.000,125.004
Pipelined Ring,49152,196608,788.065,10.345,782.000,853.000,249.482
Pipelined Ring,98304,393216,845.395,27.713,786.000,920.000,465.127
Pipelined Ring,196608,786432,852.935,8.073,849.000,920.000,922.030
Pipelined Ring,393216,1572864,878.805,36.713,850.000,984.000,1789.776
Pipelined Ring,786432,3145728,2827.305,2380.665,1167.000,14983.000,1112.624
Pipelined Ring,1572864,6291456,2734.890,2586.892,1449.000,23110.000,2300.442
Pipelined Ring,3145728,12582912,2715.715,1889.564,1733.000,16013.000,4633.370
Pipelined Ring,6291456,25165824,4670.040,4592.961,2761.000,45840.000,5388.781
Pipelined Ring,12582912,50331648,6870.590,4181.005,4419.000,29326.000,7325.666
Pipelined Ring,25165824,100663296,10930.505,4801.829,7929.000,29755.000,9209.391
Pipelined Ring,50331648,201326592,17940.875,5220.106,15155.000,40159.000,11221.671
Pipelined Ring,100663296,402653184,33915.035,6652.131,29602.000,73959.000,11872.410
Pipelined Ring,201326592,805306368,63866.115,7551.826,58704.000,100086.000,12609.290
Pipelined Ring,402653184,1610612736,124377.720,8400.753,117230.000,168296.000,12949.367
Pipelined Ring,805306368,3221225472,240472.275,7218.982,234226.000,279811.000,13395.413
Pipelined Ring,1610612736,6442450944,476379.425,8115.202,469612.000,505521.000,13523.781
Classic Ring,384,1536,690.080,37.249,655.000,943.000,2.226
Classic Ring,768,3072,688.100,32.887,654.000,727.000,4.464
Classic Ring,1536,6144,688.115,32.860,654.000,728.000,8.929
Classic Ring,3072,12288,688.435,32.886,653.000,729.000,17.849
Classic Ring,6144,24576,688.430,32.847,654.000,728.000,35.699
Classic Ring,12288,49152,689.090,33.004,654.000,734.000,71.329
Classic Ring,24576,98304,703.490,35.889,654.000,792.000,139.738
Classic Ring,49152,196608,764.115,31.870,720.000,853.000,257.302
Classic Ring,98304,393216,786.405,45.106,785.000,853.000,500.017
Classic Ring,196608,786432,828.670,33.469,785.000,983.000,949.029
Classic Ring,393216,1572864,832.950,34.386,785.000,984.000,1888.305
Classic Ring,786432,3145728,2098.535,2137.713,1102.000,20521.000,1499.011
Classic Ring,1572864,6291456,2301.630,2022.152,1345.000,15762.000,2733.478
Classic Ring,3145728,12582912,2769.510,1925.932,1735.000,15928.000,4543.371
Classic Ring,6291456,25165824,4741.935,3369.325,2554.000,28754.000,5307.079
Classic Ring,12582912,50331648,6791.730,2937.719,4362.000,20816.000,7410.726
