impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Classic Paard,384,1536,161.280,187.184,137.000,2164.000,9.524
Classic Paard,768,3072,143.420,4.234,136.000,159.000,21.420
Classic Paard,1536,6144,145.430,4.017,138.000,160.000,42.247
Classic Paard,3072,12288,147.780,11.113,141.000,295.000,83.151
Classic Paard,6144,24576,149.805,4.412,144.000,165.000,164.053
Classic Paard,12288,49152,160.180,30.245,152.000,562.000,306.855
Classic Paard,24576,98304,182.085,119.588,168.000,1868.000,539.880
Classic Paard,49152,196608,204.635,11.983,196.000,361.000,960.774
Classic Paard,98304,393216,231.150,7.803,219.000,260.000,1701.129
Classic Paard,196608,786432,258.205,13.492,243.000,330.000,3045.766
Classic Paard,393216,1572864,312.365,18.274,294.000,454.000,5035.340
Classic Paard,786432,3145728,1485.755,1904.717,691.000,17946.000,2117.259
Classic Paard,1572864,6291456,1020.310,83.505,938.000,2028.000,6166.220
Classic Paard,3145728,12582912,2719.445,2218.235,1447.000,17772.000,4627.015
Classic Paard,6291456,25165824,4197.980,2439.968,2483.000,16482.000,5994.746
Classic Paard,12582912,50331648,6271.595,2343.771,4543.000,17006.000,8025.335
Classic Paard,25165824,100663296,11184.705,3015.999,8749.000,28572.000,9000.085
Classic Paard,50331648,201326592,20254.865,3383.439,17155.000,42737.000,9939.666
Classic Paard,100663296,402653184,37496.650,3246.760,34179.000,53038.000,10738.378
Classic Paard,201326592,805306368,72154.110,3039.187,68408.000,88580.000,11160.922
Classic Paard,402653184,1610612736,140659.580,2828.044,137040.000,156371.000,11450.430
Classic Paard,805306368,3221225472,278509.330,3482.085,273880.000,296914.000,11565.952
Classic Paard,1610612736,6442450944,552835.975,3650.896,546882.000,578151.000,11653.458
Pipelined Ring,384,1536,360.060,5.657,350.000,388.000,4.266
Pipelined Ring,768,3072,363.860,5.373,355.000,382.000,8.443
Pipelined Ring,1536,6144,353.785,5.159,346.000,369.000,17.366
Pipelined Ring,3072,12288,357.890,5.662,350.000,388.000,34.335
Pipelined Ring,6144,24576,358.790,5.126,351.000,383.000,68.497
Pipelined Ring,12288,49152,365.075,7.492,356.000,424.000,134.635
Pipelined Ring,24576,98304,378.535,7.523,366.000,433.000,259.696
Pipelined Ring,49152,196608,398.940,5.889,389.000,422.000,492.826
Pipelined Ring,98304,393216,450.925,9.154,439.000,524.000,872.021
Pipelined Ring,196608,786432,532.245,8.218,518.000,607.000,1477.575
Pipelined Ring,393216,1572864,593.480,16.182,575.000,743.000,2650.239
Pipelined Ring,786432,3145728,1587.420,1435.193,945.000,6597.000,1981.661
Pipelined Ring,1572864,6291456,2937.645,3206.777,1148.000,21168.000,2141.667
Pipelined Ring,3145728,12582912,2849.805,2129.221,1542.000,16673.000,4415.359
Pipelined Ring,6291456,25165824,4497.195,3789.829,2640.000,26515.000,5595.893
Pipelined Ring,12582912,50331648,6626.355,3851.421,4379.000,24960.000,7595.676
Pipelined Ring,25165824,100663296,10971.755,4611.307,7962.000,31479.000,9174.767
Pipelined Ring,50331648,201326592,19283.520,5520.420,15152.000,41452.000,10440.345
Pipelined Ring,100663296,402653184,34763.975,5811.955,29943.000,57066.000,11582.484
Pipelined Ring,201326592,805306368,64670.215,6470.080,59551.000,96727.000,12452.508
Pipelined Ring,402653184,1610612736,125072.820,8522.051,118950.000,156614.000,12877.400
Pipelined Ring,805306368,3221225472,246151.710,9159.514,238858.000,281822.000,13086.342
Pipelined Ring,1610612736,6442450944,482655.275,9145.188,475672.000,524883.000,13347.934
Classic Ring,384,1536,280.645,6.935,270.000,302.000,5.473
Classic Ring,768,3072,280.670,6.685,270.000,305.000,10.945
Classic Ring,1536,6144,282.350,9.624,266.000,308.000,21.760
Classic Ring,3072,12288,280.920,9.962,268.000,313.000,43.742
Classic Ring,6144,24576,284.490,6.900,272.000,337.000,86.386
Classic Ring,12288,49152,289.580,8.641,276.000,318.000,169.735
Classic Ring,24576,98304,305.335,7.976,293.000,370.000,321.955
Classic Ring,49152,196608,321.555,9.790,301.000,346.000,611.429
Classic Ring,98304,393216,384.980,9.330,365.000,415.000,1021.393
Classic Ring,196608,786432,418.045,12.466,396.000,517.000,1881.214
Classic Ring,393216,1572864,457.495,17.686,426.000,625.000,3437.992
Classic Ring,786432,3145728,1853.020,2244.803,834.000,21188.000,1697.622
Classic Ring,1572864,6291456,2151.825,1923.228,1042.000,14394.000,2923.777
Classic Ring,3145728,12582912,2907.720,2146.174,1472.000,15445.000,4327.415
Classic Ring,6291456,25165824,4102.845,2849.579,2370.000,20778.000,6133.750
Classic Ring,12582912,50331648,7111.480,4075.022,4180.000,35551.000,7077.521
Classic Ring,25165824,100663296,11222.000,3549.434,8125.000,30505.000,8970.174
Classic Ring,50331648,201326592,19660.715,3266.856,16249.000,35936.000,10240.044
Classic Ring,100663296,402653184,36159.900,3960.070,32711.000,60109.000,11135.351
Classic Ring,201326592,805306368,69959.455,5443.331,65558.000,87928.000,11511.044
Classic Ring,402653184,1610612736,134878.770,5105.136,131037.000,151646.000,11941.188
Classic Ring,805306368,3221225472,268321.010,4885.778,264092.000,291453.000,12005.118
Classic Ring,1610612736,6442450944,526070.760,4169.985,522129.000,553847.000,12246.358
