Running in Release Mode
HD will be skipped as n_ranks is not a power of 2
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Paard,384,1536,206.240,4.172,199.000,223.000,7.448
Pipelined Paard,768,3072,212.635,139.164,196.000,2175.000,14.447
Pipelined Paard,1536,6144,204.225,13.682,195.000,378.000,30.084
Pipelined Paard,3072,12288,205.835,4.251,198.000,225.000,59.698
Pipelined Paard,6144,24576,209.435,4.691,202.000,226.000,117.344
Pipelined Paard,12288,49152,219.275,30.057,209.000,639.000,224.157
Pipelined Paard,24576,98304,236.550,25.565,227.000,591.000,415.574
Pipelined Paard,49152,196608,269.835,32.159,255.000,703.000,728.623
Pipelined Paard,98304,393216,322.045,14.988,304.000,445.000,1220.997
Pipelined Paard,196608,786432,366.295,18.425,346.000,478.000,2146.991
Pipelined Paard,393216,1572864,422.355,29.442,381.000,607.000,3724.033
Pipelined Paard,786432,3145728,1323.785,2602.734,779.000,27389.000,2376.313
Pipelined Paard,1572864,6291456,1916.955,2558.550,1028.000,27075.000,3282.005
Pipelined Paard,3145728,12582912,3314.775,3412.588,1787.000,21306.000,3796.008
Pipelined Paard,6291456,25165824,4655.535,3700.480,2787.000,26576.000,5405.571
Pipelined Paard,12582912,50331648,8662.605,5410.008,4855.000,43203.000,5810.221
Pipelined Paard,25165824,100663296,12551.220,4706.171,8982.000,32052.000,8020.200
Pipelined Paard,50331648,201326592,21826.375,4831.497,17500.000,42280.000,9224.005
Pipelined Paard,100663296,402653184,40026.985,4615.508,34577.000,62125.000,10059.543
Pipelined Paard,201326592,805306368,75858.670,5723.930,69194.000,101636.000,10615.878
Pipelined Paard,402653184,1610612736,142170.980,5358.784,137541.000,177972.000,11328.702
Pipelined Paard,805306368,3221225472,280287.610,2716.127,274718.000,292324.000,11492.572
Pipelined Paard,1610612736,6442450944,561301.745,6900.262,546900.000,590375.000,11477.696
Classic Paard,384,1536,155.765,2.812,148.000,168.000,9.861
Classic Paard,768,3072,155.730,2.775,151.000,168.000,19.726
Classic Paard,1536,6144,156.160,2.691,151.000,172.000,39.344
Classic Paard,3072,12288,156.470,2.853,151.000,168.000,78.533
Classic Paard,6144,24576,162.840,4.214,156.000,176.000,150.921
Classic Paard,12288,49152,170.810,4.154,163.000,190.000,287.758
Classic Paard,24576,98304,188.305,4.201,180.000,219.000,522.047
Classic Paard,49152,196608,213.125,4.295,205.000,230.000,922.501
Classic Paard,98304,393216,243.305,8.806,233.000,284.000,1616.144
Classic Paard,196608,786432,267.695,9.368,253.000,306.000,2937.791
Classic Paard,393216,1572864,324.995,13.712,306.000,383.000,4839.656
Classic Paard,786432,3145728,1707.040,1767.496,706.000,12142.000,1842.797
Classic Paard,1572864,6291456,1899.415,1992.019,954.000,15628.000,3312.312
Classic Paard,3145728,12582912,2495.495,1867.528,1456.000,15724.000,5042.251
Classic Paard,6291456,25165824,4070.145,2893.296,2470.000,26113.000,6183.029
Classic Paard,12582912,50331648,6520.060,3316.199,4586.000,38937.000,7719.507
Classic Paard,25165824,100663296,11106.435,2989.454,8721.000,36884.000,9063.511
Classic Paard,50331648,201326592,19914.485,2586.385,17173.000,29862.000,10109.556
Classic Paard,100663296,402653184,37733.830,3690.686,34377.000,65656.000,10670.880
Classic Paard,201326592,805306368,72122.805,3199.946,68781.000,88875.000,11165.766
Classic Paard,402653184,1610612736,140030.085,1711.010,137111.000,148704.000,11501.905
Classic Paard,805306368,3221225472,279202.865,3269.387,274700.000,296693.000,11537.222
Classic Paard,1610612736,6442450944,554130.240,3751.984,548190.000,572249.000,11626.240
Pipelined Ring,384,1536,1001.105,13.435,970.000,1042.000,1.534
Pipelined Ring,768,3072,989.980,7.639,976.000,1019.000,3.103
Pipelined Ring,1536,6144,1007.970,9.682,990.000,1054.000,6.095
Pipelined Ring,3072,12288,1069.695,6.623,1057.000,1107.000,11.487
Pipelined Ring,6144,24576,1074.215,8.737,1059.000,1109.000,22.878
Pipelined Ring,12288,49152,1078.285,6.912,1067.000,1108.000,45.583
