Running in Release Mode
HD will be skipped as n_ranks is not a power of 2
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Paard,384,1536,253.590,11.824,241.000,283.000,6.057
Pipelined Paard,768,3072,252.285,13.261,243.000,280.000,12.177
Pipelined Paard,1536,6144,252.355,16.384,240.000,391.000,24.347
Pipelined Paard,3072,12288,252.380,16.622,242.000,393.000,48.688
Pipelined Paard,6144,24576,258.740,13.284,243.000,286.000,94.983
Pipelined Paard,12288,49152,273.595,137.508,255.000,2204.000,179.652
Pipelined Paard,24576,98304,264.425,9.632,255.000,363.000,371.765
Pipelined Paard,49152,196608,294.245,13.547,274.000,333.000,668.178
Pipelined Paard,98304,393216,366.990,17.687,337.000,417.000,1071.462
Pipelined Paard,196608,786432,409.740,19.251,386.000,492.000,1919.344
Pipelined Paard,393216,1572864,452.780,31.955,407.000,660.000,3473.793
Pipelined Paard,786432,3145728,1222.725,1451.518,828.000,16830.000,2572.719
Pipelined Paard,1572864,6291456,1863.950,1794.328,1079.000,14907.000,3375.335
Pipelined Paard,3145728,12582912,3537.445,3754.475,1974.000,31605.000,3557.062
Pipelined Paard,6291456,25165824,6116.910,4343.262,3166.000,30026.000,4114.140
Pipelined Paard,12582912,50331648,8990.880,4740.344,5660.000,30449.000,5598.078
Pipelined Paard,25165824,100663296,14773.415,5661.632,10476.000,50938.000,6813.814
Pipelined Paard,50331648,201326592,25313.935,5112.386,20472.000,68804.000,7953.192
Pipelined Paard,100663296,402653184,46876.505,5824.818,40429.000,87047.000,8589.659
Pipelined Paard,201326592,805306368,89621.165,5860.332,80806.000,124853.000,8985.672
Pipelined Paard,402653184,1610612736,174707.880,7001.691,159863.000,210827.000,9218.890
Pipelined Paard,805306368,3221225472,344138.760,8639.139,324075.000,369231.000,9360.252
Pipelined Paard,1610612736,6442450944,683123.290,14666.454,645422.000,718512.000,9430.876
Classic Paard,384,1536,199.775,11.354,193.000,237.000,7.689
Classic Paard,768,3072,200.520,12.291,192.000,238.000,15.320
Classic Paard,1536,6144,203.035,14.437,194.000,246.000,30.261
Classic Paard,3072,12288,217.355,12.341,196.000,241.000,56.534
Classic Paard,6144,24576,226.415,7.504,199.000,247.000,108.544
Classic Paard,12288,49152,229.515,4.412,225.000,269.000,214.156
Classic Paard,24576,98304,230.670,6.568,225.000,265.000,426.167
Classic Paard,49152,196608,273.440,13.707,257.000,303.000,719.017
Classic Paard,98304,393216,296.790,10.924,291.000,330.000,1324.896
Classic Paard,196608,786432,326.290,9.228,300.000,355.000,2410.224
Classic Paard,393216,1572864,369.845,20.847,347.000,498.000,4252.765
Classic Paard,786432,3145728,1255.395,1110.291,800.000,6205.000,2505.768
Classic Paard,1572864,6291456,1964.555,1909.914,1122.000,15909.000,3202.484
Classic Paard,3145728,12582912,3507.660,2868.763,1745.000,27281.000,3587.267
Classic Paard,6291456,25165824,4662.225,2555.904,3064.000,22470.000,5397.814
Classic Paard,12582912,50331648,7769.990,2244.938,5702.000,20091.000,6477.698
Classic Paard,25165824,100663296,13343.105,3091.254,11038.000,31663.000,7544.218
Classic Paard,50331648,201326592,24548.735,2651.260,21967.000,36499.000,8201.098
Classic Paard,100663296,402653184,46766.120,2633.095,43874.000,69601.000,8609.934
Classic Paard,201326592,805306368,90653.425,2798.515,87400.000,108314.000,8883.353
Classic Paard,402653184,1610612736,179256.185,3721.187,174723.000,202043.000,8984.977
Classic Paard,805306368,3221225472,354326.910,3785.424,349203.000,377601.000,9091.112
Classic Paard,1610612736,6442450944,703596.800,4030.165,697254.000,728548.000,9156.453
Pipelined Ring,384,1536,425.355,7.753,410.000,456.000,3.611
Pipelined Ring,768,3072,427.440,5.462,422.000,455.000,7.187
Pipelined Ring,1536,6144,426.935,6.399,417.000,466.000,14.391
Pipelined Ring,3072,12288,428.410,7.131,420.000,465.000,28.683
Pipelined Ring,6144,24576,442.825,11.353,428.000,470.000,55.498
Pipelined Ring,12288,49152,443.655,16.320,432.000,472.000,110.789
Pipelined Ring,24576,98304,458.255,17.850,440.000,697.000,214.518
Pipelined Ring,49152,196608,480.920,13.679,463.000,577.000,408.816
Pipelined Ring,98304,393216,512.960,18.562,492.000,635.000,766.563
Pipelined Ring,196608,786432,615.030,28.105,570.000,721.000,1278.689
Pipelined Ring,393216,1572864,663.630,24.803,620.000,727.000,2370.092
Pipelined Ring,786432,3145728,2057.430,2286.087,1007.000,22776.000,1528.960
Pipelined Ring,1572864,6291456,1631.090,1773.936,1200.000,19803.000,3857.210
Pipelined Ring,3145728,12582912,2254.680,1752.918,1651.000,14300.000,5580.797
Pipelined Ring,6291456,25165824,5541.925,5465.955,2775.000,36287.000,4540.990
Pipelined Ring,12582912,50331648,6650.755,3941.467,4626.000,27242.000,7567.810
Pipelined Ring,25165824,100663296,11941.250,5345.455,8385.000,43633.000,8429.879
Pipelined Ring,50331648,201326592,20305.335,5865.786,15920.000,43557.000,9914.960
Pipelined Ring,100663296,402653184,36080.695,6529.722,31319.000,72983.000,11159.796
Pipelined Ring,201326592,805306368,69085.090,7671.764,62691.000,102634.000,11656.732
Pipelined Ring,402653184,1610612736,133640.495,8841.109,125159.000,165089.000,12051.832
Pipelined Ring,805306368,3221225472,258372.975,8365.268,250602.000,293555.000,12467.347
Pipelined Ring,1610612736,6442450944,506383.160,8184.136,499091.000,542861.000,12722.483
Classic Ring,384,1536,367.785,10.166,354.000,393.000,4.176
Classic Ring,768,3072,368.575,11.431,353.000,397.000,8.335
Classic Ring,1536,6144,362.805,9.250,353.000,401.000,16.935
Classic Ring,3072,12288,368.440,12.781,355.000,408.000,33.351
Classic Ring,6144,24576,367.140,11.910,355.000,408.000,66.939
Classic Ring,12288,49152,393.365,11.957,382.000,425.000,124.953
Classic Ring,24576,98304,404.485,18.662,389.000,455.000,243.035
Classic Ring,49152,196608,434.540,14.252,416.000,529.000,452.451
Classic Ring,98304,393216,468.240,14.959,440.000,509.000,839.774
Classic Ring,196608,786432,494.930,20.094,469.000,592.000,1588.976
Classic Ring,393216,1572864,539.960,17.833,521.000,576.000,2912.927
Classic Ring,786432,3145728,957.815,30.480,901.000,1073.000,3284.275
Classic Ring,1572864,6291456,1724.490,1488.131,1273.000,14168.000,3648.299
Classic Ring,3145728,12582912,2827.735,1978.861,1818.000,13782.000,4449.820
Classic Ring,6291456,25165824,4859.310,3140.249,2957.000,24129.000,5178.888
Classic Ring,12582912,50331648,7779.140,2898.903,5449.000,25377.000,6470.079
Classic Ring,25165824,100663296,13406.200,3782.193,10600.000,40858.000,7508.712
Classic Ring,50331648,201326592,23446.300,2537.837,21145.000,31853.000,8586.711
Classic Ring,100663296,402653184,45072.075,3355.411,42203.000,62255.000,8933.540
Classic Ring,201326592,805306368,89017.415,4418.326,85451.000,109506.000,9046.616
Classic Ring,402653184,1610612736,174999.315,4357.043,170989.000,196213.000,9203.537
